Demographic Information - What is your age?,Demographic Information - What is your gender?,Demographic Information - What is your current occupation?,"Digital Device Usage - On average, how many hours per day do you spend on digital devices (smartphones, tablets, computers, etc.)?",Digital Device Usage - Which activities do you spend most of your time on digital devices? (Select all that apply),Digital Device Usage - Do you use digital devices at night before sleep?,Digital Device Usage - Do you think the time you spend on your digital devices is good use of your time?,Mental Health and Well-Being - How often do you feel stressed?,"Mental Health and Well-Being - Have you ever felt symptoms of depression (such as prolonged sadness, loss of interest, fatigue, etc.)?",Mental Health and Well-Being - Do you feel comfortable discussing your mental health with friends or family?,Mental Health and Well-Being - Do you think your digital device usage affects your mental health?,"Physical Activity and Sleep - How often do you engage in physical activities (exercise, sports, etc.)?",Physical Activity and Sleep - How would you rate your sleep quality?,Physical Activity and Sleep - How would you rate your current nutrition and diet?,Access to Mental Health Resources - Are you aware of the mental health resources available to you?,Access to Mental Health Resources - Have you ever sought professional help for mental health issues?,Preferences for Mental Health Support - What is your preferred mode of receiving mental health support? (Select all that apply),Preferences for Mental Health Support - Would you be open to using an AI-powered chatbot for mental health support and managing digital device usage?,Preferences for Mental Health Support - What features would you find most helpful in an AI-powered chatbot? (Select all that apply),Preferences for Mental Health Support - Do you have any suggestions for improving mental health support for Gen Z? (Open-ended)
17-23 years,Male,Student,4-6 hours,"['Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Always,No,Often,Yes,Very comfortable,A little,Often,Average,Poor,Not sure,Yes,"['Online therapy sessions', 'In-person counseling']",No,"['Connection to professional help', 'Tips for managing digital device usage', 'Daily check-ins/mood tracking']",One way to support Gen Z's mental health is by encourage employers to provide mental health support and encourage physical and recreational activities.
12-17 years,Male,Student,More than 6 hours,"['Work/Professional tasks', 'Studying/Educational purposes', 'Gaming']",Sometimes,Yes,Never,No,Somewhat uncomfortable,A little,Rarely,Good,Average,Yes,No,['Support groups'],Yes,"['Tips for managing digital device usage', 'Other (please specify)']",provide accessible and affordable mental health services can greatly benefit the mental health of Gen Z.
17-23 years,Male,Self-employed,4-6 hours,"['Watching videos/Movies', 'Work/Professional tasks', 'Gaming']",Rarely,Yes,Always,No,Somewhat uncomfortable,A lot,Always,Average,Average,Yes,No,"['Other (please specify)', 'AI-powered chatbots']",Maybe,['Daily check-ins/mood tracking'],Gen Z's mental health can greatly benefit from reduce the stigma associated with seeking mental health help and create supportive community environments provided in public spaces.
23-27 years,Male,Student,2-4 hours,"['Work/Professional tasks', 'Watching videos/Movies', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Always,Sometimes,Often,Sometimes,Somewhat comfortable,Not at all,Always,Good,Average,No,Yes,"['Support groups', 'Online therapy sessions']",Maybe,"['Resources for mental health (articles, videos, etc.)']",Fostering create more inclusive and diverse mental health resources and offer mental health training programs can lead to more resilient mental health.
23-27 years,Male,Student,4-6 hours,"['Work/Professional tasks', 'Watching videos/Movies', 'Studying/Educational purposes']",Always,No,Often,No,Neutral,A lot,Sometimes,Good,Average,Yes,Yes,"['AI-powered chatbots', 'Online therapy sessions']",No,"['Connection to professional help', 'Resources for mental health (articles, videos, etc.)']","To improve mental health support for Gen Z, create safe spaces for Gen Z to share experiences in schools."
23-27 years,Male,Employed,4-6 hours,['Watching videos/Movies'],Often,Yes,Often,No,Somewhat comfortable,Not at all,Rarely,Poor,Poor,Yes,No,"['Self-help resources (books, articles, videos)', 'Support groups']",No,"['Resources for mental health (articles, videos, etc.)']",Gen Z's mental health can greatly benefit from increase mental health awareness and offer mental health training programs provided in schools.
12-17 years,Male,Student,2-4 hours,"['Studying/Educational purposes', 'Work/Professional tasks', 'Watching videos/Movies']",Never,Sometimes,Sometimes,No,Somewhat comfortable,Moderately,Often,Good,Poor,Yes,Yes,['Other (please specify)'],No,"['Immediate emotional support', 'Daily check-ins/mood tracking', 'Other (please specify)']",Supporting Gen Z's mental health requires create more inclusive and diverse mental health resources and promote mental health through social media.
12-17 years,Male,Student,4-6 hours,"['Work/Professional tasks', 'Watching videos/Movies', 'Gaming']",Rarely,No,Sometimes,No,Somewhat uncomfortable,Not at all,Never,Good,Good,Not sure,No,['Online therapy sessions'],Yes,"['Other (please specify)', 'Connection to professional help', 'Immediate emotional support']",create safe spaces for Gen Z to share experiences can greatly benefit the mental health of Gen Z.
Under 12 years,Female,Student,2-4 hours,"['Watching videos/Movies', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming']",Rarely,No,Sometimes,Sometimes,Somewhat uncomfortable,Not at all,Rarely,Average,Good,Not sure,No,['In-person counseling'],Yes,['Tips for managing digital device usage'],increase peer support programs can greatly benefit the mental health of Gen Z.
17-23 years,Male,Student,4-6 hours,['Watching videos/Movies'],Never,Yes,Often,Yes,Somewhat uncomfortable,A little,Sometimes,Good,Average,No,No,['Other (please specify)'],Maybe,"['Immediate emotional support', 'Connection to professional help', 'Tips for managing digital device usage']",We should encourage employers to provide mental health support to ensure Gen Z has access to community support.
12-17 years,Female,Student,4-6 hours,"['Watching videos/Movies', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Often,No,Sometimes,Sometimes,Somewhat uncomfortable,Not at all,Sometimes,Poor,Poor,Yes,Yes,['Other (please specify)'],Maybe,"['Resources for mental health (articles, videos, etc.)', 'Tips for managing digital device usage', 'Daily check-ins/mood tracking']",Fostering develop and promote mental health apps and promote mental health awareness campaigns can lead to better mental health outcomes.
12-17 years,Male,Student,More than 6 hours,['Gaming'],Rarely,No,Sometimes,No,Neutral,Not at all,Always,Average,Good,Not sure,Yes,['In-person counseling'],Maybe,"['Immediate emotional support', 'Daily check-ins/mood tracking', 'Resources for mental health (articles, videos, etc.)']",Integrating provide mental health training for teachers and parents into communities can help in supporting Gen Z's mental health.
23-27 years,Male,Student,More than 6 hours,"['Watching videos/Movies', 'Work/Professional tasks', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Sometimes,Sometimes,Often,No,Neutral,A lot,Rarely,Poor,Good,No,Yes,['Online therapy sessions'],No,"['Resources for mental health (articles, videos, etc.)', 'Immediate emotional support', 'Tips for managing digital device usage']",One way to support Gen Z's mental health is by promote mindfulness and relaxation techniques and create supportive community environments.
Under 12 years,Male,Student,More than 6 hours,['Studying/Educational purposes'],Rarely,Sometimes,Never,No,Somewhat uncomfortable,Not at all,Always,Very good,Average,No,No,"['Support groups', 'Other (please specify)']",Yes,['Other (please specify)'],encourage regular mental health check-ups and create supportive community environments are crucial for enhancing mental health support for Gen Z.
12-17 years,Female,Student,More than 6 hours,['Gaming'],Sometimes,No,Rarely,No,Neutral,Moderately,Sometimes,Very good,Good,No,No,"['Support groups', 'Online therapy sessions']",Yes,['Connection to professional help'],"By create safe spaces for Gen Z to share experiences, we can encourage and improved overall health."
27 years and above,Female,Employed,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks', 'Gaming']",Rarely,Sometimes,Often,Yes,Very comfortable,Significantly,Often,Average,Average,No,Yes,['AI-powered chatbots'],Yes,['Connection to professional help'],Integrating increase peer support programs into public spaces can help in supporting Gen Z's mental health.
17-23 years,Female,Student,More than 6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Studying/Educational purposes', 'Watching videos/Movies']",Rarely,Yes,Sometimes,No,Somewhat uncomfortable,Not at all,Never,Average,Poor,Not sure,Yes,"['Online therapy sessions', 'Self-help resources (books, articles, videos)']",Maybe,"['Tips for managing digital device usage', 'Immediate emotional support']",Supporting Gen Z's mental health requires encourage employers to provide mental health support and create supportive community environments.
17-23 years,Female,Employed,2-4 hours,"['Work/Professional tasks', 'Watching videos/Movies']",Rarely,No,Often,No,Very comfortable,Significantly,Rarely,Good,Good,Not sure,No,['Support groups'],Maybe,['Connection to professional help'],It's essential to provide mental health training for teachers and parents for better mental health outcomes in Gen Z.
27 years and above,Male,Employed,More than 6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies']",Never,Sometimes,Sometimes,No,Neutral,Significantly,Always,Good,Good,Not sure,Yes,"['AI-powered chatbots', 'Support groups']",No,"['Resources for mental health (articles, videos, etc.)', 'Tips for managing digital device usage', 'Connection to professional help']",We should encourage employers to provide mental health support to ensure Gen Z has access to self-help tools.
12-17 years,Female,Student,More than 6 hours,"['Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks']",Often,No,Sometimes,No,Somewhat comfortable,Not at all,Never,Average,Good,Yes,No,"['Support groups', 'Self-help resources (books, articles, videos)']",Maybe,"['Resources for mental health (articles, videos, etc.)', 'Other (please specify)', 'Immediate emotional support']",Encouraging encourage open discussions about mental health among Gen Z can lead to improved access to support.
27 years and above,Male,Other (please specify),2-4 hours,"['Work/Professional tasks', 'Studying/Educational purposes', 'Gaming']",Never,Sometimes,Sometimes,Yes,Very uncomfortable,Significantly,Often,Average,Average,Yes,No,"['Online therapy sessions', 'AI-powered chatbots']",Maybe,"['Immediate emotional support', 'Tips for managing digital device usage', 'Connection to professional help']",offer anonymous counseling services can help bridge the gap in mental health support for Gen Z in healthcare settings.
23-27 years,Female,Student,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks', 'Studying/Educational purposes']",Sometimes,Yes,Sometimes,No,Somewhat comfortable,Not at all,Often,Average,Average,Not sure,Yes,"['Self-help resources (books, articles, videos)', 'Support groups']",No,['Connection to professional help'],provide accessible and affordable mental health services and promote mental health through social media are crucial for enhancing mental health support for Gen Z.
12-17 years,Female,Student,More than 6 hours,"['Watching videos/Movies', 'Gaming']",Sometimes,Yes,Rarely,No,Somewhat comfortable,A lot,Rarely,Good,Very Good,No,No,"['Self-help resources (books, articles, videos)', 'Online therapy sessions']",No,['Other (please specify)'],reduce the stigma associated with seeking mental health help can greatly benefit the mental health of Gen Z.
Under 12 years,Male,Student,More than 6 hours,['Studying/Educational purposes'],Always,Sometimes,Rarely,No,Somewhat uncomfortable,Significantly,Sometimes,Very good,Good,Yes,Yes,['Support groups'],Maybe,"['Daily check-ins/mood tracking', 'Tips for managing digital device usage']",increase peer support programs can greatly benefit the mental health of Gen Z.
12-17 years,Female,Student,More than 6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies', 'Studying/Educational purposes']",Rarely,Yes,Sometimes,Yes,Neutral,A little,Rarely,Poor,Good,Not sure,No,['Other (please specify)'],No,"['Daily check-ins/mood tracking', 'Immediate emotional support']",Supporting Gen Z's mental health requires improve access to online mental health resources and provide online and offline support groups.
12-17 years,Female,Student,4-6 hours,"['Studying/Educational purposes', 'Gaming']",Sometimes,No,Never,No,Somewhat uncomfortable,Not at all,Never,Good,Very Good,Yes,Yes,"['Self-help resources (books, articles, videos)', 'Support groups']",Maybe,"['Daily check-ins/mood tracking', 'Tips for managing digital device usage']",Integrating encourage regular mental health check-ups into healthcare settings can help in supporting Gen Z's mental health.
Under 12 years,Non-binary,Student,More than 6 hours,"['Watching videos/Movies', 'Studying/Educational purposes', 'Gaming']",Sometimes,Yes,Rarely,Sometimes,Very uncomfortable,A lot,Sometimes,Good,Good,Not sure,Yes,"['Other (please specify)', 'Online therapy sessions']",Maybe,"['Other (please specify)', 'Immediate emotional support', 'Daily check-ins/mood tracking']",create safe spaces for Gen Z to share experiences can help bridge the gap in mental health support for Gen Z in healthcare settings.
17-23 years,Male,Employed,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Often,No,Often,No,Somewhat uncomfortable,A little,Never,Good,Poor,No,No,['Support groups'],Yes,['Other (please specify)'],Providing hotlines and support groups and emotional support can significantly improve mental health for Gen Z.
12-17 years,Female,Student,More than 6 hours,"['Studying/Educational purposes', 'Watching videos/Movies', 'Work/Professional tasks']",Sometimes,Sometimes,Rarely,No,Neutral,A little,Rarely,Very good,Good,Not sure,Yes,['Other (please specify)'],Maybe,"['Connection to professional help', 'Daily check-ins/mood tracking']",We should create more inclusive and diverse mental health resources to ensure Gen Z has access to self-help tools.
Under 12 years,Male,Student,More than 6 hours,['Watching videos/Movies'],Always,No,Rarely,No,Somewhat comfortable,A little,Often,Very good,Good,Yes,No,"['Self-help resources (books, articles, videos)', 'Support groups']",Maybe,"['Connection to professional help', 'Daily check-ins/mood tracking', 'Immediate emotional support']",develop and promote mental health apps can greatly benefit the mental health of Gen Z.
23-27 years,Male,Self-employed,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming', 'Watching videos/Movies']",Rarely,Sometimes,Sometimes,No,Somewhat comfortable,A little,Rarely,Poor,Good,Not sure,Yes,['In-person counseling'],Maybe,['Immediate emotional support'],Encouraging create more inclusive and diverse mental health resources among Gen Z can lead to enhanced well-being.
23-27 years,Female,Student,4-6 hours,"['Work/Professional tasks', 'Studying/Educational purposes']",Often,Sometimes,Often,Yes,Very uncomfortable,A little,Sometimes,Average,Good,Not sure,Yes,"['Other (please specify)', 'Support groups']",Yes,"['Tips for managing digital device usage', 'Resources for mental health (articles, videos, etc.)', 'Immediate emotional support']",promote mindfulness and relaxation techniques can greatly benefit the mental health of Gen Z.
27 years and above,Female,Employed,4-6 hours,"['Work/Professional tasks', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Often,No,Always,Sometimes,Neutral,Not at all,Never,Average,Very Poor,No,Yes,['AI-powered chatbots'],No,['Immediate emotional support'],Providing educational materials and practical guidance can significantly improve mental health for Gen Z.
17-23 years,Female,Student,Less than 2 hours,"['Gaming', 'Watching videos/Movies']",Often,No,Always,Yes,Very comfortable,Moderately,Always,Average,Very Poor,Yes,Yes,"['AI-powered chatbots', 'Support groups']",Maybe,"['Tips for managing digital device usage', 'Connection to professional help']",We should create more inclusive and diverse mental health resources to ensure Gen Z has access to online resources.
Under 12 years,Male,Student,4-6 hours,['Work/Professional tasks'],Always,Sometimes,Never,No,Somewhat uncomfortable,Not at all,Always,Very good,Very Good,No,Yes,"['Other (please specify)', 'Support groups']",Yes,['Other (please specify)'],Encouraging improve access to online mental health resources among Gen Z can lead to greater awareness and education.
23-27 years,Female,Student,More than 6 hours,"['Work/Professional tasks', 'Gaming']",Rarely,Sometimes,Often,Sometimes,Somewhat comfortable,A lot,Often,Good,Average,No,No,['In-person counseling'],Yes,['Tips for managing digital device usage'],provide mental health training for teachers and parents can greatly benefit the mental health of Gen Z.
12-17 years,Female,Student,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Often,Sometimes,Rarely,Sometimes,Very uncomfortable,Not at all,Sometimes,Very good,Good,Yes,Yes,['Other (please specify)'],No,"['Resources for mental health (articles, videos, etc.)']","By ensure mental health resources are culturally sensitive, we can improve and improved overall health."
12-17 years,Female,Student,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Studying/Educational purposes']",Always,No,Never,No,Somewhat uncomfortable,A little,Often,Very good,Very Good,Not sure,Yes,['Support groups'],Maybe,"['Resources for mental health (articles, videos, etc.)', 'Daily check-ins/mood tracking', 'Tips for managing digital device usage']",Supporting Gen Z's mental health requires encourage employers to provide mental health support and promote mental health through social media.
17-23 years,Male,Student,4-6 hours,"['Watching videos/Movies', 'Gaming', 'Studying/Educational purposes']",Never,Yes,Often,Yes,Neutral,Not at all,Always,Average,Good,Yes,No,"['AI-powered chatbots', 'Self-help resources (books, articles, videos)']",Maybe,['Connection to professional help'],increase funding for mental health research and develop mental health apps and tools are crucial for enhancing mental health support for Gen Z.
27 years and above,Male,Self-employed,4-6 hours,"['Studying/Educational purposes', 'Watching videos/Movies', 'Gaming']",Never,Yes,Sometimes,No,Neutral,Not at all,Often,Good,Good,Not sure,Yes,"['Online therapy sessions', 'Support groups']",No,"['Connection to professional help', 'Other (please specify)', 'Tips for managing digital device usage']",educational institutions should prioritize ensure mental health resources are culturally sensitive and provide online and offline support groups for better mental health support.
Under 12 years,Female,Student,2-4 hours,"['Watching videos/Movies', 'Studying/Educational purposes']",Never,Yes,Never,No,Somewhat uncomfortable,A little,Always,Good,Good,Not sure,No,"['In-person counseling', 'Online therapy sessions']",No,['Immediate emotional support'],"To improve mental health support for Gen Z, encourage physical activities and hobbies in healthcare settings."
17-23 years,Male,Self-employed,4-6 hours,"['Work/Professional tasks', 'Gaming']",Often,No,Often,Sometimes,Somewhat uncomfortable,A little,Often,Good,Average,No,No,"['Online therapy sessions', 'In-person counseling']",Yes,"['Tips for managing digital device usage', 'Other (please specify)']",professional help and practical guidance are vital for communities to effectively support Gen Z's mental health.
17-23 years,Male,Employed,2-4 hours,"['Work/Professional tasks', 'Studying/Educational purposes']",Sometimes,Sometimes,Sometimes,No,Very uncomfortable,Not at all,Rarely,Good,Average,No,No,['Online therapy sessions'],Maybe,"['Other (please specify)', 'Tips for managing digital device usage', 'Connection to professional help']",Providing hotlines and support groups and access to mental health professionals can significantly improve mental health for Gen Z.
Under 12 years,Male,Student,2-4 hours,"['Studying/Educational purposes', 'Watching videos/Movies']",Rarely,Yes,Sometimes,No,Very uncomfortable,Significantly,Often,Poor,Good,No,Yes,"['Self-help resources (books, articles, videos)']",No,"['Immediate emotional support', 'Resources for mental health (articles, videos, etc.)']",Encouraging promote a healthy balance between digital device usage and offline activities among Gen Z can lead to better mental health outcomes.
17-23 years,Male,Student,4-6 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Studying/Educational purposes']",Always,No,Sometimes,No,Somewhat uncomfortable,A little,Never,Average,Good,Not sure,Yes,"['Support groups', 'Other (please specify)']",Yes,"['Immediate emotional support', 'Other (please specify)']",It's important to promote a healthy balance between digital device usage and offline activities and promote mental health awareness campaigns to promote stronger support networks for Gen Z.
23-27 years,Female,Student,4-6 hours,['Gaming'],Often,Yes,Sometimes,No,Neutral,A little,Never,Good,Good,Not sure,Yes,"['Self-help resources (books, articles, videos)']",Maybe,"['Connection to professional help', 'Tips for managing digital device usage']",Fostering offer anonymous counseling services and create mental health hotlines can lead to reduced stigma.
17-23 years,Male,Employed,More than 6 hours,"['Gaming', 'Watching videos/Movies']",Sometimes,No,Sometimes,No,Very comfortable,Moderately,Often,Average,Good,No,No,"['Other (please specify)', 'Self-help resources (books, articles, videos)']",No,"['Resources for mental health (articles, videos, etc.)']",provide mental health training for teachers and parents can help bridge the gap in mental health support for Gen Z in communities.
17-23 years,Female,Student,Less than 2 hours,['Gaming'],Always,No,Sometimes,Yes,Somewhat comfortable,A little,Always,Good,Average,Not sure,Yes,"['Online therapy sessions', 'Self-help resources (books, articles, videos)']",Yes,"['Other (please specify)', 'Immediate emotional support']",It's essential to promote a healthy balance between digital device usage and offline activities for better mental health outcomes in Gen Z.
12-17 years,Female,Student,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Sometimes,No,Rarely,Yes,Very uncomfortable,Moderately,Rarely,Very good,Very Good,Yes,Yes,"['In-person counseling', 'Support groups']",Yes,"['Tips for managing digital device usage', 'Daily check-ins/mood tracking']","To improve mental health support for Gen Z, improve access to online mental health resources in universities."
27 years and above,Female,Self-employed,4-6 hours,"['Studying/Educational purposes', 'Gaming', 'Work/Professional tasks']",Always,Yes,Sometimes,Yes,Somewhat comfortable,A lot,Often,Average,Good,Not sure,Yes,"['Self-help resources (books, articles, videos)', 'Online therapy sessions']",Yes,['Immediate emotional support'],increase mental health awareness can greatly benefit the mental health of Gen Z.
27 years and above,Female,Self-employed,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Never,Sometimes,Always,No,Very comfortable,A little,Sometimes,Very poor,Average,Yes,Yes,"['Support groups', 'In-person counseling']",Yes,"['Other (please specify)', 'Resources for mental health (articles, videos, etc.)', 'Immediate emotional support']",Fostering develop and promote mental health apps and offer mental health training programs can lead to more resilient mental health.
23-27 years,Female,Student,2-4 hours,"['Studying/Educational purposes', 'Gaming']",Never,Sometimes,Always,No,Very uncomfortable,A little,Often,Average,Average,Yes,Yes,['Online therapy sessions'],Yes,['Daily check-ins/mood tracking'],universities should prioritize encourage regular mental health check-ups and increase accessibility to mental health services for better mental health support.
23-27 years,Female,Student,2-4 hours,['Gaming'],Rarely,No,Sometimes,Yes,Very comfortable,Not at all,Always,Good,Good,No,No,"['Self-help resources (books, articles, videos)']",Yes,"['Resources for mental health (articles, videos, etc.)', 'Other (please specify)', 'Connection to professional help']",It's essential to encourage employers to provide mental health support for better mental health outcomes in Gen Z.
Under 12 years,Male,Student,4-6 hours,"['Studying/Educational purposes', 'Gaming', 'Work/Professional tasks']",Never,No,Sometimes,No,Somewhat uncomfortable,A lot,Often,Average,Good,No,No,"['Self-help resources (books, articles, videos)', 'Online therapy sessions']",No,"['Connection to professional help', 'Immediate emotional support']",Integrating increase mental health awareness into online platforms can help in supporting Gen Z's mental health.
17-23 years,Female,Student,Less than 2 hours,"['Work/Professional tasks', 'Studying/Educational purposes', 'Gaming']",Rarely,Yes,Sometimes,No,Somewhat uncomfortable,Not at all,Rarely,Average,Poor,Not sure,Yes,['Other (please specify)'],No,"['Tips for managing digital device usage', 'Immediate emotional support', 'Daily check-ins/mood tracking']",Providing mental health resources and online and offline resources can significantly improve mental health for Gen Z.
12-17 years,Male,Student,4-6 hours,"['Work/Professional tasks', 'Studying/Educational purposes']",Often,Sometimes,Rarely,Sometimes,Neutral,A lot,Rarely,Good,Very Good,Yes,No,"['Self-help resources (books, articles, videos)', 'Support groups']",Maybe,"['Daily check-ins/mood tracking', 'Connection to professional help', 'Tips for managing digital device usage']",It's important to implement mental health programs and workshops and promote mental health awareness campaigns to promote improved overall health for Gen Z.
Under 12 years,Male,Student,2-4 hours,['Studying/Educational purposes'],Often,Sometimes,Rarely,No,Somewhat uncomfortable,Moderately,Sometimes,Very good,Very Good,No,Yes,"['Other (please specify)', 'Online therapy sessions']",Maybe,['Daily check-ins/mood tracking'],social media should prioritize ensure mental health resources are culturally sensitive and encourage physical and recreational activities for better mental health support.
17-23 years,Male,Student,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Never,Sometimes,Often,Sometimes,Somewhat uncomfortable,Moderately,Always,Poor,Good,Yes,Yes,"['In-person counseling', 'Support groups']",No,"['Tips for managing digital device usage', 'Daily check-ins/mood tracking']","To improve mental health support for Gen Z, create safe spaces for Gen Z to share experiences in communities."
23-27 years,Male,Student,4-6 hours,"['Studying/Educational purposes', 'Gaming']",Rarely,No,Always,Sometimes,Somewhat comfortable,A little,Rarely,Average,Very Poor,Not sure,Yes,['Other (please specify)'],No,"['Resources for mental health (articles, videos, etc.)', 'Immediate emotional support', 'Tips for managing digital device usage']",It's important to provide mental health training for teachers and parents and promote mental health through social media to promote greater emotional support for Gen Z.
12-17 years,Male,Student,4-6 hours,['Watching videos/Movies'],Sometimes,No,Never,No,Very uncomfortable,Significantly,Often,Very good,Very Good,Yes,No,['Other (please specify)'],Yes,"['Resources for mental health (articles, videos, etc.)', 'Immediate emotional support', 'Daily check-ins/mood tracking']",Providing hotlines and support groups and mental health hotlines can significantly improve mental health for Gen Z.
27 years and above,Female,Employed,4-6 hours,['Watching videos/Movies'],Sometimes,Yes,Often,No,Very uncomfortable,Not at all,Often,Good,Average,No,No,['Online therapy sessions'],Maybe,"['Tips for managing digital device usage', 'Daily check-ins/mood tracking', 'Resources for mental health (articles, videos, etc.)']",Integrating encourage physical activities and hobbies into workplaces can help in supporting Gen Z's mental health.
23-27 years,Male,Unemployed,4-6 hours,"['Studying/Educational purposes', 'Watching videos/Movies', 'Gaming']",Often,No,Sometimes,Sometimes,Somewhat uncomfortable,Significantly,Often,Good,Average,Yes,Yes,['AI-powered chatbots'],Yes,"['Resources for mental health (articles, videos, etc.)', 'Other (please specify)', 'Tips for managing digital device usage']",It's important to increase mental health awareness and offer regular mental health workshops to promote greater emotional support for Gen Z.
27 years and above,Male,Self-employed,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Often,No,Often,Sometimes,Somewhat comfortable,Significantly,Always,Good,Poor,Not sure,No,"['AI-powered chatbots', 'Support groups']",Maybe,"['Tips for managing digital device usage', 'Connection to professional help']",It's important to improve access to online mental health resources and create mental health hotlines to promote greater awareness and education for Gen Z.
17-23 years,Male,Student,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies', 'Studying/Educational purposes']",Always,No,Often,No,Somewhat comfortable,Significantly,Never,Good,Good,Yes,No,"['Online therapy sessions', 'Self-help resources (books, articles, videos)']",Maybe,['Daily check-ins/mood tracking'],One way to support Gen Z's mental health is by encourage physical activities and hobbies and provide online and offline support groups.
27 years and above,Female,Employed,More than 6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies', 'Studying/Educational purposes']",Rarely,No,Often,No,Very comfortable,Moderately,Sometimes,Average,Average,Not sure,No,"['Self-help resources (books, articles, videos)', 'In-person counseling']",No,['Daily check-ins/mood tracking'],We should promote mindfulness and relaxation techniques to ensure Gen Z has access to online resources.
23-27 years,Male,Student,Less than 2 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies', 'Work/Professional tasks']",Never,No,Always,No,Somewhat uncomfortable,Moderately,Never,Poor,Average,Yes,No,"['AI-powered chatbots', 'Online therapy sessions']",No,"['Resources for mental health (articles, videos, etc.)', 'Tips for managing digital device usage', 'Daily check-ins/mood tracking']",online resources and online and offline resources are vital for workplaces to effectively support Gen Z's mental health.
27 years and above,Female,Employed,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies']",Never,Yes,Always,Sometimes,Very uncomfortable,A little,Always,Poor,Very Poor,Yes,Yes,['Support groups'],Maybe,['Other (please specify)'],"To improve mental health support for Gen Z, encourage employers to provide mental health support in online platforms."
12-17 years,Female,Student,2-4 hours,['Studying/Educational purposes'],Always,Yes,Sometimes,No,Very comfortable,A lot,Often,Poor,Average,Not sure,No,"['Online therapy sessions', 'Self-help resources (books, articles, videos)']",Maybe,"['Daily check-ins/mood tracking', 'Resources for mental health (articles, videos, etc.)', 'Other (please specify)']",It's essential to promote a healthy balance between digital device usage and offline activities for better mental health outcomes in Gen Z.
12-17 years,Male,Student,4-6 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies']",Always,Yes,Never,Sometimes,Very comfortable,A lot,Often,Good,Average,No,No,"['AI-powered chatbots', 'Online therapy sessions']",Yes,"['Resources for mental health (articles, videos, etc.)']",Integrating implement mental health programs and workshops into universities can help in supporting Gen Z's mental health.
Under 12 years,Female,Student,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks', 'Watching videos/Movies']",Rarely,Yes,Sometimes,Sometimes,Very comfortable,A lot,Sometimes,Poor,Average,Not sure,No,['Online therapy sessions'],No,"['Daily check-ins/mood tracking', 'Other (please specify)', 'Connection to professional help']",Fostering increase funding for mental health research and create mental health hotlines can lead to greater emotional support.
12-17 years,Female,Student,More than 6 hours,"['Work/Professional tasks', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Always,Yes,Rarely,No,Somewhat uncomfortable,A lot,Always,Good,Good,No,No,"['Self-help resources (books, articles, videos)']",No,"['Daily check-ins/mood tracking', 'Other (please specify)']",increase peer support programs can greatly benefit the mental health of Gen Z.
23-27 years,Female,Student,2-4 hours,['Gaming'],Always,Sometimes,Often,Yes,Very uncomfortable,Not at all,Often,Average,Good,Yes,No,"['Other (please specify)', 'Support groups']",Yes,"['Resources for mental health (articles, videos, etc.)', 'Immediate emotional support']",encourage open discussions about mental health and increase accessibility to mental health services are crucial for enhancing mental health support for Gen Z.
